Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
Jupiler Pro League,12,Sat 28/10/23,8:45 PM,RSC Anderlecht,(2.),OH Leuven,(12.),21.500,5:1,Drizzle,12.2
Croky Cup,Seventh Round,Tue 31/10/23,8:30 PM,La Louvière,,RSC Anderlecht,,,0:1,Drizzle,10.5
Jupiler Pro League,13,Sun 05/11/23,1:30 PM,Cercle Brugge,(4.),RSC Anderlecht,(2.),6.908,0:3,Drizzle,11.3
Jupiler Pro League,14,Sun 12/11/23,6:30 PM,KAA Gent,(3.),RSC Anderlecht,(2.),19.690,1:1,Partly cloudy,6.7
Jupiler Pro League,15,Sun 26/11/23,6:30 PM,RSC Anderlecht,(2.),RWDM,(10.),22.198,2:1,Partly cloudy,4.6
Jupiler Pro League,16,Fri 01/12/23,8:45 PM,KVC Westerlo,(15.),RSC Anderlecht,(2.),8.000,1:3,Partly cloudy,-0.5
Croky Cup,Round of 16,Thu 07/12/23,8:30 PM,RSC Anderlecht,,Standard Liège,,22.200,2:0,Partly cloudy,4.6
Jupiler Pro League,17,Sun 10/12/23,6:30 PM,RSC Anderlecht,(2.),Standard Liège,(9.),20.000,2:2,Drizzle,9.3
Jupiler Pro League,18,Sun 17/12/23,6:30 PM,Royal Antwerp,(4.),RSC Anderlecht,(2.),15.000,1:1,Clear or mostly clear,7.0
Jupiler Pro League,19,Sat 23/12/23,8:45 PM,RSC Anderlecht,(2.),Genk,(5.),21.000,2:1,Partly cloudy,8.9
Jupiler Pro League,20,Wed 27/12/23,8:45 PM,RSC Anderlecht,(2.),Cercle Brugge,(6.),20.000,2:0,Partly cloudy,9.2
